data	codigo_bdi	codigo_negociacao_papel	tp_mercado	nome_res	especi	prazo_tot	mod_ref	pre_abe	pre_max	pre_min	pre_med	pre_ult	pre_ofc	pre_ofv	tot_neg	qua_tot	vol_tot	pre_exe	ind_opc	dat_venc	fat_cot	pto_exe	cod_isi	dis_mes
2018-01-02	2	AALR3	10	ALLIAR	ON      NM		R$	14.94	15.16	14.70	14.84	14.89	14.75	14.89	403	94500	1402991.00	0.00	0	9999-12-31	1	0.000000	BRAALRACNOR6	100
2018-01-02	96	AALR3F	20	ALLIAR	ON      NM		R$	14.79	14.93	14.79	14.86	14.80	14.73	15.16	7	225	3343.84	0.00	0	9999-12-31	1	0.000000	BRAALRACNOR6	100
2018-01-02	2	AAPL34	10	APPLE	DRN		R$	56.81	56.81	56.30	56.38	56.30	55.00	56.30	4	900	50747.00	0.00	0	9999-12-31	1	0.000000	BRAAPLBDR004	123
2018-01-02	96	AAPL34F	20	APPLE	DRN		R$	56.81	65.00	56.54	59.63	56.54	54.59	62.00	7	61	3637.70	0.00	0	9999-12-31	1	0.000000	BRAAPLBDR004	123
2018-01-02	10	ABCB2	10	ABC BRASIL	DIR PRE N2		R$	4.11	4.20	4.11	4.14	4.20	4.13	6.00	6	1200	4977.00	0.00	0	9999-12-31	1	0.000000	BRABCBD12PR6	128
2018-01-02	96	ABCB2F	20	ABC BRASIL	DIR PRE N2		R$	4.01	4.20	4.01	4.12	4.20	4.08	4.20	14	222	916.01	0.00	0	9999-12-31	1	0.000000	BRABCBD12PR6	128
2018-01-02	2	ABCB4	10	ABC BRASIL	PN  EJS N2		R$	16.83	16.85	16.56	16.65	16.58	16.57	16.60	2024	326300	5433160.00	0.00	0	9999-12-31	1	0.000000	BRABCBACNPR4	129
2018-01-02	96	ABCB4F	20	ABC BRASIL	PN  EJS N2		R$	16.75	16.80	16.55	16.67	16.68	16.61	16.68	47	940	15674.61	0.00	0	9999-12-31	1	0.000000	BRABCBACNPR4	129
2018-01-02	12	ABCP11	10	FII ABC IMOB	CI  ER		R$	16.10	16.19	15.95	16.08	16.00	16.00	16.09	116	14513	233503.08	0.00	0	9999-12-31	1	0.000000	BRABCPCTF000	267
2018-01-02	2	ABEV3	10	AMBEV S/A	ON  EJ		R$	21.33	21.75	21.17	21.60	21.69	21.69	21.70	33607	12717900	274813428.00	0.00	0	9999-12-31	1	0.000000	BRABEVACNOR1	118
2018-01-02	96	ABEV3F	20	AMBEV S/A	ON  EJ		R$	21.50	21.96	21.09	21.59	21.96	21.66	21.96	354	7019	151555.35	0.00	0	9999-12-31	1	0.000000	BRABEVACNOR1	118
2018-01-02	62	ABEV3T	30	AMBEV S/A	ON  EJ	030	R$	21.86	21.87	21.84	21.85	21.85	0.00	0.00	4	4700	102719.40	0.00	0	9999-12-31	1	0.000000	BRABEVACNOR1	118
2018-01-02	62	ABEV3T	30	AMBEV S/A	ON  EJ	062	R$	21.70	21.71	21.70	21.70	21.71	0.00	0.00	2	239000	5186530.63	0.00	0	9999-12-31	1	0.000000	BRABEVACNOR1	118
2018-01-02	62	ABEV3T	30	AMBEV S/A	ON  EJ	120	R$	21.98	21.99	21.98	21.98	21.99	0.00	0.00	2	5600	123106.03	0.00	0	9999-12-31	1	0.000000	BRABEVACNOR1	118
2018-01-02	78	ABEVA21	70	ABEV  FM/EJ	ON	000	R$	0.89	1.10	0.89	1.00	1.10	0.50	1.60	11	67500	67588.00	20.66	0	2018-01-15	1	0.000000	BRABEVACNOR1	116
2018-01-02	78	ABEVA22	70	ABEV    /EJ	ON	000	R$	0.04	0.05	0.04	0.04	0.05	0.00	0.15	2	5500	240.00	22.16	0	2018-01-15	1	0.000000	BRABEVACNOR1	117
2018-01-02	78	ABEVA51	70	ABEV  FM/EJ	ON	000	R$	0.13	0.28	0.13	0.20	0.25	0.22	0.25	78	209200	43157.00	21.66	0	2018-01-15	1	0.000000	BRABEVACNOR1	117
2018-01-02	78	ABEVA52	70	ABEV  FM/EJ	ON	000	R$	0.02	0.02	0.02	0.02	0.02	0.00	0.10	2	6000	120.00	22.66	0	2018-01-15	1	0.000000	BRABEVACNOR1	117
2018-01-02	78	ABEVA61	70	ABEV    /EJ	ON	000	R$	0.46	0.66	0.45	0.54	0.61	0.48	1.00	20	360000	194420.00	21.16	0	2018-01-15	1	0.000000	BRABEVACNOR1	117
